	NNP	,	CD	NNS	JJ	MD	VB	DT	NN	IN	.	VBZ	VBG	CC	VBD	VBN	RB	TO	PRP	RBR	WDT	VBP	RP	PRP$	JJS	POS	``	EX	''	WP	:	JJR	WRB	$	NNPS	WP$	(	)	PDT	RBS	FW	UH	SYM	LS	#
NNP	4699.0	0	43.0	20.0	127.0	0	7.0	5.0	116.0	2.0	0	6.0	5.0	0	4.0	5.0	2.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.0	0	0	0	0	0	29.0	1.0	0	0	0
,	0	2525.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
CD	35.0	0	1280.0	5.0	64.0	0	8.0	1.0	13.0	0	0	0	4.0	0	0	3.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS	127.0	0	9.0	2492.0	35.0	0	2.0	0	248.0	0	0	13.0	10.0	0	0	14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0	0	0	0	0	0	3.0	0	0	0	0
JJ	135.0	0	24.0	11.0	2559.0	0	9.0	7.0	78.0	3.0	0	3.0	12.0	3.0	2.0	58.0	28.0	1.0	0	1.0	0	3.0	2.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	5.0	0	4.0	0	0	0	0
MD	0	0	0	0	0	405.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB	5.0	0	8.0	0	11.0	0	1089.0	0	23.0	0	0	0	6.0	0	1.0	8.0	1.0	0	0	0	0	26.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DT	2.0	0	0	0	0	0	0	3943.0	3.0	11.0	0	0	0	3.0	0	0	8.0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0	0	2.0	1.0	0	0	0
NN	197.0	0	17.0	58.0	220.0	0	11.0	0	5559.0	1.0	0	5.0	33.0	2.0	4.0	5.0	2.0	0	2.0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	0	0	0	0
IN	2.0	0	1.0	0	8.0	0	0	17.0	1.0	4729.0	0	0	3.0	2.0	0	0	53.0	2.0	0	0	6.0	1.0	21.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0
.	0	0	0	0	0	0	0	0	0	0	1917.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBZ	11.0	0	3.0	27.0	9.0	0	5.0	0	15.0	0	0	1009.0	2.0	0	10.0	1.0	0	0	0	0	0	1.0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
VBG	15.0	0	12.0	2.0	63.0	0	6.0	0	63.0	0	0	5.0	538.0	0	5.0	30.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
CC	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1134.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
